City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,mana,5.6592,-53.7767,24.84,89,80,4.38,GF,1737586807
261,saipan,15.1355,145.701,29.39,76,75,7.2,MP,1737586808
262,knysna,-34.0363,23.0471,23.36,75,56,0.87,ZA,1737586809
263,nikolayevsk-on-amure,53.1406,140.73,-21.25,98,70,1.71,RU,1737586811
264,warmbaths,-24.8833,28.2833,18.96,67,0,3.48,ZA,1737586812
265,nuku'alofa,-21.1333,-175.2,30.19,84,75,2.57,TO,1737586813
266,saint clair,38.55,-89.9168,0.19,50,92,0.89,US,1737586814
267,sinop,41.7711,34.8709,5.39,80,100,3.99,TR,1737586815
268,ishigaki,24.3448,124.1572,20.07,83,75,3.6,JP,1737586816
269,olonkinbyen,70.9221,-8.7187,-1.95,89,95,8.22,SJ,1737586817
270,melekeok village,7.4957,134.6367,27.31,89,100,0.0,PW,1737586818
271,chak azam sahu,30.75,73.0333,11.28,44,10,2.65,PK,1737586819
272,kirakira,-10.4544,161.9205,27.94,83,100,2.82,SB,1737586820
273,aksu,41.1231,80.2644,-9.29,86,4,2.15,CN,1737586801
274,lospalos,-8.5186,127.0025,24.0,85,100,0.62,TL,1737586822
275,essaouira,31.5125,-9.77,16.72,82,20,4.12,MA,1737586823
276,cuito,-12.3833,16.9333,14.03,85,76,2.29,AO,1737586824
277,elliot,-31.3333,27.85,16.77,63,73,2.72,ZA,1737586825
278,prince rupert,54.3161,-130.3201,6.83,86,100,15.95,CA,1737586826
279,crane,31.3974,-102.3501,11.75,17,61,2.02,US,1737586827
280,torbat-e jam,35.244,60.6225,0.89,80,7,1.37,IR,1737586828
281,belomorsk,64.5232,34.7668,-8.12,95,100,1.68,RU,1737586678
282,horta,38.5333,-28.6333,12.8,82,20,3.09,PT,1737586830
283,wesley,15.5667,-61.3167,23.74,94,75,1.54,DM,1737586831
284,masterton,-40.9597,175.6575,25.03,40,21,1.76,NZ,1737586832
285,fortuna,40.5982,-124.1573,13.88,63,0,4.63,US,1737586834
286,lewistown,40.5992,-77.5714,-9.33,69,0,0.0,US,1737586835
287,nantucket,41.2835,-70.0995,-4.92,58,0,7.2,US,1737586589
288,christchurch,-43.5333,172.6333,21.62,65,18,7.2,NZ,1737586806
289,la sarre,48.8002,-79.1996,-12.03,90,100,5.78,CA,1737586838
290,belle fourche,44.6714,-103.8522,-4.27,80,100,8.76,US,1737586839
291,phillip island,-38.4835,145.231,16.29,76,100,5.17,AU,1737586841
292,kumylzhenskaya,49.8809,42.5898,-4.73,40,100,7.77,RU,1737586842
293,askale,39.9208,40.695,-7.52,79,100,2.35,TR,1737586843
294,grand falls-windsor,48.9332,-55.6649,-12.5,67,83,3.13,CA,1737586844
295,san antonio de pale,-1.4014,5.6325,26.55,83,80,4.91,GQ,1737586845
296,gazli,40.1333,63.45,-1.75,44,7,3.15,UZ,1737586846
297,enewetak,11.3474,162.3373,27.1,78,100,10.23,MH,1737586847
298,mata-utu,-13.2816,-176.1745,28.3,78,68,6.88,WF,1737586848
299,tofol,5.3248,163.0078,27.15,81,98,7.9,FM,1737586849
300,saurimo,-9.6608,20.3916,17.75,89,91,1.89,AO,1737586850
301,bamboo flat,11.7,92.7167,21.05,94,7,1.03,IN,1737586851
302,aasiaat,68.7098,-52.8699,-6.54,85,100,6.08,GL,1737586617
303,naracoorte,-36.9579,140.7383,15.47,53,100,3.65,AU,1737586853
304,pallasovka,50.05,46.8833,-10.15,56,63,5.88,RU,1737586854
305,tomatlan,19.9333,-105.25,29.94,27,0,2.78,MX,1737586856
306,tarko-sale,64.9225,77.785,-29.45,91,95,10.45,RU,1737586857
307,stillwater,36.1156,-97.0584,4.2,50,0,3.09,US,1737586859
308,kalmunai,7.4167,81.8167,24.81,81,34,4.68,LK,1737586860
309,thunder bay,48.4001,-89.3168,-12.01,61,75,6.69,CA,1737586661
310,bambanglipuro,-7.95,110.2833,25.25,88,100,1.91,ID,1737586862
311,sungailiat,-1.85,106.1333,24.17,91,100,3.44,ID,1737586863
312,nago,26.5881,127.9761,18.58,60,89,3.81,JP,1737586864
313,lubang,13.8584,120.124,26.3,76,85,9.54,PH,1737586865
314,xining,36.6167,101.7667,-4.49,57,26,1.3,CN,1737586812
315,talnakh,69.4865,88.3972,-39.37,95,18,1.87,RU,1737586867
316,kutum,14.2,24.6667,18.09,22,0,5.17,SD,1737586868
317,nelson bay,-32.7167,152.15,23.95,73,100,4.47,AU,1737586869
